,Classifier,FeatureExtractor,acc,avgprec,classifierfamily,log_loss,precisionscore,recallscore
273,SVC_1,ResNet50,0.570994355189,0.615506048523,SVC,1.07952546303,0.570994355189,0.570994355189
309,SVC_1,ResNet50,0.564481111594,0.612655834048,SVC,1.07998020895,0.564481111594,0.564481111594
165,SVC_1,ResNet50,0.563612679114,0.638616556692,SVC,1.08129234352,0.563612679114,0.563612679114
425,LogisticRegression_0,VGG19,0.610073816761,0.551053807594,LogisticRegression,1.08207334292,0.610073816761,0.610073816761
489,SVC_1,ResNet50,0.573599652627,0.613520206187,SVC,1.085349082,0.573599652627,0.573599652627
57,SVC_1,ResNet50,0.564481111594,0.605136415141,SVC,1.08557746906,0.564481111594,0.564481111594
597,SVC_1,ResNet50,0.55536257056,0.603239999452,SVC,1.08913485047,0.55536257056,0.55536257056
813,SVC_1,ResNet50,0.560573165436,0.614854288086,SVC,1.09006273392,0.560573165436,0.560573165436
417,SVC_1,ResNet50,0.566217976552,0.626700048941,SVC,1.09391204993,0.566217976552,0.566217976552
381,SVC_1,ResNet50,0.562310030395,0.625897948859,SVC,1.09491926588,0.562310030395,0.562310030395
4,SVC_0,VGG16,0.62527138515,0.526719349209,SVC,1.09885022464,0.62527138515,0.62527138515
777,SVC_1,ResNet50,0.563178462875,0.638666839869,SVC,1.09932763836,0.563178462875,0.563178462875
848,SVC_0,ResNet50,0.603560573165,0.526149589175,SVC,1.11367307805,0.603560573165,0.603560573165
236,SVC_0,ResNet50,0.608771168042,0.514571102341,SVC,1.11525331759,0.608771168042,0.608771168042
308,SVC_0,ResNet50,0.602692140686,0.513408512077,SVC,1.11845345215,0.602692140686,0.602692140686
128,SVC_0,ResNet50,0.603560573165,0.512772370878,SVC,1.12011127171,0.603560573165,0.603560573165
524,SVC_0,ResNet50,0.603560573165,0.523754232279,SVC,1.12340110898,0.603560573165,0.603560573165
740,SVC_0,ResNet50,0.601823708207,0.516410837775,SVC,1.13057910872,0.601823708207,0.601823708207
632,SVC_0,ResNet50,0.600955275727,0.517859292677,SVC,1.13221630659,0.600955275727,0.600955275727
200,SVC_0,ResNet50,0.599218410769,0.487402831508,SVC,1.13325389621,0.599218410769,0.599218410769
884,SVC_0,ResNet50,0.590968302215,0.489631811175,SVC,1.13497104493,0.590968302215,0.590968302215
560,SVC_0,ResNet50,0.605297438124,0.503940443223,SVC,1.13507217024,0.605297438124,0.605297438124
25,LogisticRegression_0,ResNet50,0.61094224924,0.522466527217,LogisticRegression,1.1366161409,0.61094224924,0.61094224924
